;Scopy version,438f138
;Exported on,mardi avril 29/04/2025
;Device,M2K
;Nr of samples,160000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
0,-0.08192,0.0296985
1,-0.08191,0.0328726
2,-0.0819,0.0312855
3,-0.08189,0.0312855
4,-0.08188,0.0312855
5,-0.08187,0.0312855
6,-0.08186,0.0328726
7,-0.08185,0.0296985
8,-0.08184,0.0328726
9,-0.08183,0.0312855
10,-0.08182,0.0312855
11,-0.08181,0.0312855
12,-0.0818,0.0312855
13,-0.08179,0.0312855
14,-0.08178,0.0312855
15,-0.08177,0.0312855
16,-0.08176,0.0312855
17,-0.08175,0.0312855
18,-0.08174,0.0312855
19,-0.08173,0.0312855
20,-0.08172,0.0312855
21,-0.08171,0.0312855
22,-0.0817,0.0312855
23,-0.08169,0.0312855
24,-0.08168,0.0312855
25,-0.08167,0.0312855
26,-0.08166,0.0312855
27,-0.08165,0.0312855
28,-0.08164,0.0312855
29,-0.08163,0.0312855
30,-0.08162,0.0312855
31,-0.08161,0.0312855
32,-0.0816,0.0312855
33,-0.08159,0.0312855
34,-0.08158,0.0312855
35,-0.08157,0.0312855
36,-0.08156,0.0312855
37,-0.08155,0.0328726
38,-0.08154,0.0312855
39,-0.08153,0.0312855
40,-0.08152,0.0312855
41,-0.08151,0.0312855
42,-0.0815,0.0312855
43,-0.08149,0.0312855
44,-0.08148,0.0312855
45,-0.08147,0.0312855
46,-0.08146,0.0312855
47,-0.08145,0.0312855
48,-0.08144,0.0312855
49,-0.08143,0.0312855
50,-0.08142,0.0312855
51,-0.08141,0.0312855
52,-0.0814,0.0312855
53,-0.08139,0.0312855
54,-0.08138,0.0312855
55,-0.08137,0.0312855
56,-0.08136,0.0312855
57,-0.08135,0.0312855
58,-0.08134,0.0312855
59,-0.08133,0.0312855
60,-0.08132,0.0312855
61,-0.08131,0.0312855
62,-0.0813,0.0312855
63,-0.08129,0.0312855
64,-0.08128,0.0312855
65,-0.08127,0.0312855
66,-0.08126,0.0312855
67,-0.08125,0.0312855
68,-0.08124,0.0312855
69,-0.08123,0.0312855
70,-0.08122,0.0312855
71,-0.08121,0.0312855
72,-0.0812,0.0312855
73,-0.08119,0.0312855
74,-0.08118,0.0312855
75,-0.08117,0.0312855
76,-0.08116,0.0312855
77,-0.08115,0.0312855
78,-0.08114,0.0312855
79,-0.08113,0.0312855
80,-0.08112,0.0312855
81,-0.08111,0.0312855
82,-0.0811,0.0312855
83,-0.08109,0.0312855
84,-0.08108,0.0312855
85,-0.08107,0.0312855
86,-0.08106,0.0312855
87,-0.08105,0.0312855
88,-0.08104,0.0312855
89,-0.08103,0.0312855
90,-0.08102,0.0312855
91,-0.08101,0.0312855
92,-0.081,0.0312855
93,-0.08099,0.0312855
94,-0.08098,0.0312855
95,-0.08097,0.0312855
96,-0.08096,0.0312855
97,-0.08095,0.0312855
98,-0.08094,0.0312855
99,-0.08093,0.0312855
100,-0.08092,0.0312855
101,-0.08091,0.0312855
102,-0.0809,0.0328726
103,-0.08089,0.0312855
104,-0.08088,0.0312855
105,-0.08087,0.0312855
106,-0.08086,0.0312855
107,-0.08085,0.0312855
108,-0.08084,0.0312855
109,-0.08083,0.0312855
110,-0.08082,0.0312855
111,-0.08081,0.0312855
112,-0.0808,0.0312855
113,-0.08079,0.0312855
114,-0.08078,0.0312855
115,-0.08077,0.0328726
116,-0.08076,0.0296985
117,-0.08075,0.0312855
118,-0.08074,0.0312855
119,-0.08073,0.0312855
120,-0.08072,0.0312855
121,-0.08071,0.0312855
122,-0.0807,0.0312855
123,-0.08069,0.0312855
124,-0.08068,0.0312855
125,-0.08067,0.0328726
126,-0.08066,0.0312855
127,-0.08065,0.0312855
128,-0.08064,0.0312855
129,-0.08063,0.0328726
130,-0.08062,0.0312855
131,-0.08061,0.0312855
132,-0.0806,0.0328726
133,-0.08059,0.0312855
134,-0.08058,0.0312855
135,-0.08057,0.0312855
136,-0.08056,0.0312855
137,-0.08055,0.0312855
138,-0.08054,0.0312855
139,-0.08053,0.0312855
140,-0.08052,0.0312855
141,-0.08051,0.0312855
142,-0.0805,0.0312855
143,-0.08049,0.0312855
